,bit_close,nas_close,dow_close,ada_close,amd_close,snp_close,bnb_close,nvda_close,bit_close**2,ada_close**2
738,0.009814993928540855,10853.55,27665.64,3.2109885668636844,76.339996,3372.2,0.19821843472553707,121.644997,9.633410581729384e-05,10.310447576529297
739,0.009609387146855799,11190.32,27995.6,3.2704196570875324,78.93,3395.0,0.1917328203166359,129.910004,9.234032133815743e-05,10.695644733464533
740,0.009520190584896738,11050.47,28032.38,3.3031915991752547,76.660004,3379.4,0.18910183395883884,125.144997,9.06340287727565e-05,10.911074740861977
741,0.009561998802585812,10910.28,27901.98,3.257882105263506,76.550003,3351.0,0.1924745783312981,124.635002,9.143182110065252e-05,10.613795811796173
742,0.009563389238912092,10793.28,27657.42,3.3134933620651017,74.93,3316.2,0.19104198930481556,121.892502,9.14584137349396e-05,10.979238260449492
743,0.009746846615902688,10778.8,27147.7,3.5261141327680265,77.940002,3275.1,0.20731064443598382,125.172501,9.500101895393369e-05,12.433480877306412
744,0.009744550270296953,10963.64,27288.18,3.497401521619987,77.699997,3299.3,0.2036970836560589,126.377502,9.495625997034441e-05,12.231817403429801
745,0.00987246541325429,10632.99,26763.13,3.6077346155666987,74.730003,3231.2,0.2090939574697435,121.237503,9.746557333590221e-05,13.015749056358196
746,0.00967960475103509,10672.27,26815.44,3.4732483019233507,75.82,3238.0,0.2015292258745879,123.480003,9.369474813626109e-05,12.063453766813439
747,0.009654259508266743,10913.56,27173.96,3.21231365582717,78.059998,3287.3,0.2012990313976387,128.737503,9.320472665295882e-05,10.318959023413717
748,0.009594532017091208,11117.53,27584.06,3.151330047419396,79.480003,3297.9,0.19250466184198142,130.350006,9.205504462698829e-05,9.930881067768334
749,0.009638454882629072,11085.25,27452.66,3.1444675225915137,81.769997,3297.9,0.18616834122888598,132.257507,9.289981252447619e-05,9.887676000632812
750,0.00964863606101524,11167.51,27781.7,3.1443120767386157,81.989998,3352.0,0.18464463709043405,135.304993,9.309617783792369e-05,9.886698435924306
751,0.00970069418712859,11326.51,27816.9,3.1963730237181807,84.860001,3367.7,0.19079399520615792,136.145004,9.41034677121904e-05,10.216800506753305
752,0.00972786110358292,11075.02,27682.81,3.2806640421124245,81.800003,3339.2,0.19131625161149973,130.622498,9.463128165060152e-05,10.762756557209432
753,0.009641984642735253,11332.49,28148.64,3.199496310948086,86.150002,3392.9,0.18679748053707598,136.425003,9.296786785074246e-05,10.23677664377041
754,0.009717614821097459,11154.6,27772.76,3.2807346623695013,84.480003,3353.2,0.18977266935421055,137.365005,9.443203781121299e-05,10.763219924872725
755,0.00969196351916252,11364.6,28303.46,3.2627512782303736,86.690002,3406.8,0.18980117868228075,139.639999,9.393415685677713e-05,10.645545903593936
756,0.009579319521955076,11420.98,28425.51,3.223425819438768,86.510002,3424.8,0.1898340071502954,138.387497,9.176336250370962e-05,10.390474013424495
757,0.009367687719108512,11768.73,28514.0,3.0528552320413844,84.209999,3480.9,0.17986042351064951,140.952499,8.775357320273643e-05,9.319925067802455
758,0.009323204294332942,11713.87,28494.2,3.0623167748673223,83.129997,3475.4,0.17875431208977172,139.699997,8.69221383138682e-05,9.377784029633798
759,0.009384331971497191,11671.56,28606.31,3.099914691521518,83.169998,3432.2,0.18258970661977944,138.115005,8.806568655126436e-05,9.609471094710948
760,0.009153011176917535,11516.49,28308.79,3.123566660573272,81.559998,3483.0,0.18632785760487502,136.455002,8.377761360477732e-05,9.756668683044861
