Date,Close/Last,Volume,Open,High,Low
09/15/2021,4472,N/A,4472,4472,4472
09/14/2021,4396.4,N/A,4396.4,4396.4,4396.4
09/13/2021,4423.3,N/A,4423.3,4423.3,4423.3
09/10/2021,4412,N/A,4412,4412,4412
09/09/2021,4492.3,N/A,4492.3,4492.3,4492.3
09/08/2021,4512.6,16,4514.9,4514.9,4512.2
09/07/2021,4519.3,24,4538.6,4543.8,4538.3
09/03/2021,4534.4,N/A,4534.4,4534.4,4534.4
09/02/2021,4535.2,16,4517.8,4526.4,4517.8
09/01/2021,4521.3,1,4530.3,4530.3,4530.3
08/31/2021,4520.5,1,4524.7,4524.7,4524.7
08/30/2021,4525.2,13,4513.1,4513.7,4513.1
08/27/2021,4483.2,N/A,4483.2,4483.2,4483.2
08/26/2021,4483.2,N/A,4483.2,4483.2,4483.2
08/25/2021,4483.2,N/A,4483.2,4483.2,4483.2
08/24/2021,4483.2,N/A,4483.2,4483.2,4483.2
08/23/2021,4505.6,N/A,4505.6,4505.6,4505.6
08/20/2021,4436.9,18,4396.4,4396.4,4396
08/19/2021,4401.4,N/A,4401.4,4401.4,4401.4
08/18/2021,4394.5,N/A,4394.5,4394.5,4394.5
08/17/2021,4443.6,N/A,4443.6,4443.6,4443.6
08/16/2021,4474,N/A,4474,4474,4474
08/13/2021,4454.6,N/A,4454.6,4454.6,4454.6
08/12/2021,4454.6,N/A,4454.6,4454.6,4454.6
08/11/2021,4462.5,1,4433.8,4433.8,4433.8
08/10/2021,4429.9,N/A,4429.9,4429.9,4429.9
08/09/2021,4425.7,1,4422.9,4422.9,4422.9
08/06/2021,4429.4,N/A,4429.4,4429.4,4429.4
08/05/2021,4421.6,2,4405.8,4405.8,4403.4
08/04/2021,4394.7,15,4406.7,4406.7,4402.3
08/03/2021,4415.1,4,4396,4396,4388.9
08/02/2021,4379.7,3,4410.7,4412.2,4410.6
07/30/2021,4389.5,6,4386.1,4386.1,4377.4
07/29/2021,4411.8,2,4399.6,4400,4399.6
07/28/2021,4393.8,2,4396.2,4396.2,4396.1
07/27/2021,4394.6,N/A,4394.6,4394.6,4394.6
07/26/2021,4414.3,7,4388.8,4396.9,4381.2
07/23/2021,4359.5,N/A,4359.5,4359.5,4359.5
07/22/2021,4359.5,N/A,4359.5,4359.5,4359.5
07/21/2021,4403.1,11,4324.6,4325,4324.6
07/20/2021,4315.6,1,4269.3,4269.3,4269.3
07/19/2021,4352,N/A,4352,4352,4352
07/16/2021,4352,N/A,4352,4352,4352
07/15/2021,4352,N/A,4352,4352,4352
07/14/2021,4251.2,3,4368.6,4368.6,4368.6
07/13/2021,4331.9,N/A,4331.9,4331.9,4331.9
07/11/2021,4331.9,N/A,4331.9,4331.9,4331.9
07/09/2021,4361.2,4,4328.7,4331.9,4328.6
07/08/2021,4312.9,5,4326.2,4326.2,4282.7
07/07/2021,4349.7,N/A,4349.7,4349.7,4349.7
07/06/2021,4342.8,N/A,4342.8,4342.8,4342.8
07/02/2021,4342.8,N/A,4342.8,4342.8,4342.8
07/01/2021,4333.9,1,4294.7,4294.7,4294.7
06/30/2021,4282,N/A,4282,4282,4282
06/29/2021,4282,N/A,4282,4282,4282
06/28/2021,4288.6,5,4270.2,4276.6,4270.2
06/25/2021,4211,N/A,4211,4211,4211
06/24/2021,4211,N/A,4211,4211,4211
06/23/2021,4211,N/A,4211,4211,4211
06/22/2021,4211,N/A,4211,4211,4211
06/20/2021,4211,N/A,4211,4211,4211
06/18/2021,4271.3,N/A,4271.3,4271.3,4271.3
06/17/2021,4163.9,N/A,4163.9,4163.9,4163.9
06/16/2021,4165.5,N/A,4165.5,4165.5,4165.5
06/15/2021,4185.7,N/A,4185.7,4185.7,4185.7
06/14/2021,4194.5,N/A,4194.5,4194.5,4194.5
06/11/2021,4186.6,N/A,4186.6,4186.6,4186.6
06/10/2021,4238.1,8,4221.4,4221.4,4221.4
06/09/2021,4218.6,N/A,4218.6,4218.6,4218.6
06/08/2021,4225.8,2,4233,4233,4224.8
06/07/2021,4225.5,2,4230.1,4230.2,4230.1
06/04/2021,4228.3,5,4208.2,4208.2,4207.8
06/03/2021,4191.3,N/A,4191.3,4191.3,4191.3
06/02/2021,4206.2,8,4196.8,4196.8,4196.8
06/01/2021,4198.6,31,4219.7,4225,4205.6
05/28/2021,4202.4,23,4210,4210,4209.6
05/27/2021,4169.1,N/A,4169.1,4169.1,4169.1
05/26/2021,4169.1,N/A,4169.1,4169.1,4169.1
05/25/2021,4169.1,N/A,4169.1,4169.1,4169.1
05/23/2021,4169.1,N/A,4169.1,4169.1,4169.1
05/21/2021,4199,20,4172.6,4174.5,4169.1
05/20/2021,4154.2,8,4108.4,4108.4,4108.4
05/19/2021,4111.6,16,4118.7,4118.7,4110.6
05/18/2021,4129.6,N/A,4129.6,4129.6,4129.6
05/16/2021,4129.6,N/A,4129.6,4129.6,4129.6
05/14/2021,4123.1,2,4129.7,4129.7,4129.6
05/13/2021,4107.1,N/A,4107.1,4107.1,4107.1
05/12/2021,4058.7,2,4116.5,4118.3,4116.5
05/11/2021,4146.2,2,4166.4,4166.4,4128.8
05/10/2021,4183.4,8,4232.8,4232.8,4232.8
05/07/2021,4225.2,N/A,4225.2,4225.2,4225.2
05/06/2021,4194.2,36,4155.6,4166.4,4154.8
05/05/2021,4159.9,8,4157.7,4157.7,4157.7
05/04/2021,4158.3,9,4180.8,4180.8,4165.8
05/03/2021,4185.8,36,4185.8,4196.7,4185.3
04/30/2021,4174.4,13,4179.1,4181.9,4178.8
04/29/2021,4203.4,8,4199.3,4199.9,4199.3
04/28/2021,4176.3,8,4184.2,4184.2,4184.2
04/27/2021,4178.9,8,4180.1,4180.1,4180.1
04/25/2021,4136.3,N/A,4136.3,4136.3,4136.3
04/23/2021,4171.5,42,4128.3,4136.7,4128.3
04/22/2021,4179.4,5,4165.8,4166,4165.8
04/21/2021,4164.8,9,4125.4,4129.7,4125.4
04/20/2021,4126.6,N/A,4126.6,4126.6,4126.6
04/19/2021,4155.5,14,4167.8,4167.8,4166.1
04/16/2021,4176.3,N/A,4176.3,4176.3,4176.3
04/15/2021,4162.4,16,4121.8,4134.7,4121.8
04/14/2021,4117.9,9,4133.1,4134,4133.1
04/13/2021,4089,N/A,4089,4089,4089
04/12/2021,4089,N/A,4089,4089,4089
04/09/2021,4089,N/A,4089,4089,4089
04/08/2021,4089,N/A,4089,4089,4089
04/07/2021,4132.8,8,4058.3,4059.2,4058.3
04/06/2021,4009.9,N/A,4009.9,4009.9,4009.9
04/05/2021,4009.9,N/A,4009.9,4009.9,4009.9
04/01/2021,4009.9,N/A,4009.9,4009.9,4009.9
03/31/2021,4064,16,3947.3,3953.7,3947.3
