,date,snp_open,snp_close
0,09/15/2021,4472.0,4472.0
1,09/14/2021,4396.4,4396.4
2,09/13/2021,4423.3,4423.3
3,09/10/2021,4412.0,4412.0
4,09/09/2021,4492.3,4492.3
5,09/08/2021,4514.9,4512.6
6,09/07/2021,4538.6,4519.3
7,09/03/2021,4534.4,4534.4
8,09/02/2021,4517.8,4535.2
9,09/01/2021,4530.3,4521.3
10,08/31/2021,4524.7,4520.5
11,08/30/2021,4513.1,4525.2
12,08/27/2021,4483.2,4483.2
13,08/26/2021,4483.2,4483.2
14,08/25/2021,4483.2,4483.2
15,08/24/2021,4483.2,4483.2
16,08/23/2021,4505.6,4505.6
17,08/20/2021,4396.4,4436.9
18,08/19/2021,4401.4,4401.4
19,08/18/2021,4394.5,4394.5
20,08/17/2021,4443.6,4443.6
21,08/16/2021,4474.0,4474.0
22,08/13/2021,4454.6,4454.6
23,08/12/2021,4454.6,4454.6
24,08/11/2021,4433.8,4462.5
25,08/10/2021,4429.9,4429.9
26,08/09/2021,4422.9,4425.7
27,08/06/2021,4429.4,4429.4
28,08/05/2021,4405.8,4421.6
29,08/04/2021,4406.7,4394.7
30,08/03/2021,4396.0,4415.1
31,08/02/2021,4410.7,4379.7
32,07/30/2021,4386.1,4389.5
33,07/29/2021,4399.6,4411.8
34,07/28/2021,4396.2,4393.8
35,07/27/2021,4394.6,4394.6
36,07/26/2021,4388.8,4414.3
37,07/23/2021,4359.5,4359.5
38,07/22/2021,4359.5,4359.5
39,07/21/2021,4324.6,4403.1
40,07/20/2021,4269.3,4315.6
41,07/19/2021,4352.0,4352.0
42,07/16/2021,4352.0,4352.0
43,07/15/2021,4352.0,4352.0
44,07/14/2021,4368.6,4251.2
45,07/13/2021,4331.9,4331.9
46,07/11/2021,4331.9,4331.9
47,07/09/2021,4328.7,4361.2
48,07/08/2021,4326.2,4312.9
49,07/07/2021,4349.7,4349.7
50,07/06/2021,4342.8,4342.8
51,07/02/2021,4342.8,4342.8
52,07/01/2021,4294.7,4333.9
53,06/30/2021,4282.0,4282.0
54,06/29/2021,4282.0,4282.0
55,06/28/2021,4270.2,4288.6
56,06/25/2021,4211.0,4211.0
57,06/24/2021,4211.0,4211.0
58,06/23/2021,4211.0,4211.0
59,06/22/2021,4211.0,4211.0
60,06/20/2021,4211.0,4211.0
61,06/18/2021,4271.3,4271.3
62,06/17/2021,4163.9,4163.9
63,06/16/2021,4165.5,4165.5
64,06/15/2021,4185.7,4185.7
65,06/14/2021,4194.5,4194.5
66,06/11/2021,4186.6,4186.6
67,06/10/2021,4221.4,4238.1
68,06/09/2021,4218.6,4218.6
69,06/08/2021,4233.0,4225.8
70,06/07/2021,4230.1,4225.5
71,06/04/2021,4208.2,4228.3
72,06/03/2021,4191.3,4191.3
73,06/02/2021,4196.8,4206.2
74,06/01/2021,4219.7,4198.6
75,05/28/2021,4210.0,4202.4
76,05/27/2021,4169.1,4169.1
77,05/26/2021,4169.1,4169.1
78,05/25/2021,4169.1,4169.1
79,05/23/2021,4169.1,4169.1
80,05/21/2021,4172.6,4199.0
81,05/20/2021,4108.4,4154.2
82,05/19/2021,4118.7,4111.6
83,05/18/2021,4129.6,4129.6
84,05/16/2021,4129.6,4129.6
85,05/14/2021,4129.7,4123.1
86,05/13/2021,4107.1,4107.1
87,05/12/2021,4116.5,4058.7
88,05/11/2021,4166.4,4146.2
89,05/10/2021,4232.8,4183.4
90,05/07/2021,4225.2,4225.2
91,05/06/2021,4155.6,4194.2
92,05/05/2021,4157.7,4159.9
93,05/04/2021,4180.8,4158.3
94,05/03/2021,4185.8,4185.8
95,04/30/2021,4179.1,4174.4
96,04/29/2021,4199.3,4203.4
97,04/28/2021,4184.2,4176.3
98,04/27/2021,4180.1,4178.9
99,04/25/2021,4136.3,4136.3
100,04/23/2021,4128.3,4171.5
101,04/22/2021,4165.8,4179.4
102,04/21/2021,4125.4,4164.8
103,04/20/2021,4126.6,4126.6
104,04/19/2021,4167.8,4155.5
105,04/16/2021,4176.3,4176.3
106,04/15/2021,4121.8,4162.4
107,04/14/2021,4133.1,4117.9
108,04/13/2021,4089.0,4089.0
109,04/12/2021,4089.0,4089.0
110,04/09/2021,4089.0,4089.0
111,04/08/2021,4089.0,4089.0
112,04/07/2021,4058.3,4132.8
113,04/06/2021,4009.9,4009.9
114,04/05/2021,4009.9,4009.9
115,04/01/2021,4009.9,4009.9
116,03/31/2021,3947.3,4064.0
117,03/30/2021,3949.3,3947.7
118,03/29/2021,3943.6,3958.9
119,03/26/2021,3964.8,3964.8
120,03/25/2021,3900.5,3900.5
121,03/24/2021,3907.5,3907.5
122,03/23/2021,3907.5,3907.5
123,03/21/2021,3907.5,3907.5
124,03/19/2021,3909.2,3880.8
125,03/18/2021,3906.0,3906.0
126,03/17/2021,3884.0,3884.0
