,bit_close,nas_close,eth_close,dow_close,amd_close,snp_close,bnb_close,nvda_close,bit_close**2,eth_close**2
309,0.015705156181075684,6192.92,0.08423077950835825,21792.2,16.65,2341.7,0.40340543217281183,31.77,0.00024665193067197977,0.007094824216585664
310,0.016206895562504025,6554.36,0.08746839081061672,22878.45,17.9,2470.9,0.4183732386852378,33.275002,0.00026266346377391267,0.00765071939099878
311,0.01669637967913127,6579.49,0.09333870014042735,23138.82,17.49,2494.9,0.4353817737935907,32.7925,0.0002787690943897076,0.008712112943904612
312,0.01608405373010796,6584.52,0.08657676363524278,23062.4,17.82,2486.0,0.40784648770011966,33.412498,0.0002586967843929998,0.007495536001552696
313,0.01646313120757004,6635.28,0.08724609522099482,23327.46,18.459999,2505.2,0.40275681647801737,33.375,0.00027103468915766656,0.0076118811313108945
314,0.016049266481170606,6665.94,0.08059128864383736,23346.24,18.83,2511.0,0.40197897398406507,34.055,0.00025757895458362634,0.0064949558052743075
315,0.016231557564066083,6463.5,0.08197909078337093,22686.22,17.049999,2447.7,0.4115702065913345,31.997499,0.0002634634609555909,0.006720571325668172
316,0.016195779137189163,6738.86,0.08087861572245691,23433.16,19.0,2531.3,0.4060501325482566,34.047501,0.0002623032618606118,0.006541350481180855
317,0.01583192029593559,6823.47,0.08175869753221675,23531.35,20.57,2550.6,0.3986813969544484,35.849998,0.0002506497002568573,0.006684484622164505
318,0.015825268908143314,6897.0,0.08193579759348525,23787.45,20.75,2572.4,0.3880736848459092,34.9575,0.00025043913601504746,0.006713474927280584
319,0.015820635805576955,6957.08,0.08180065594038857,23879.12,20.190001,2582.6,0.3880299758526247,35.645,0.0002502925172927036,0.006691347312277828
320,0.016626657741673455,6986.07,0.08888800042583542,24001.92,19.74,2594.1,0.4111392037660725,36.307499,0.00027644574765874985,0.007901076619703318
321,0.016652414389406293,6971.48,0.08995110759405675,23995.95,20.27,2595.1,0.4057089931706657,37.2075,0.00027730290499650574,0.008091201757397574
322,0.016542269968802533,6905.92,0.08836073949650536,23909.84,20.23,2580.5,0.4029349654328179,37.610001,0.00027364669572074615,0.007807620284369282
323,0.01673947606065091,7023.83,0.09185921847277156,24065.59,20.379999,2605.4,0.41103051866764967,37.467499,0.00028021005878510496,0.008438116018428376
324,0.016681218712883566,7034.69,0.09057235759848904,24207.16,19.73,2613.2,0.4020634091018543,37.209999,0.00027826305774705687,0.008203351960948575
325,0.016612035216689476,7084.46,0.09065194193098657,24370.1,20.25,2635.2,0.39473517459869867,37.93,0.0002759597140405314,0.00821777457585896
326,0.016653129504147424,7157.23,0.09159287052830634,24706.35,20.77,2671.6,0.39034396964359447,39.232498,0.00027732672228190545,0.008389253931615088
327,0.01670953532205124,7020.36,0.09197722724753972,24404.48,19.76,2631.9,0.39153418479001584,37.192501,0.00027920857067887804,0.008459810332145563
328,0.01678416899815712,7025.77,0.09271528596614599,24575.62,19.799999,2638.3,0.3909890369849244,37.322498,0.00028170832895869864,0.008596124251784227
329,0.016753167685377462,7073.46,0.09280269791362002,24553.24,20.85,2634.0,0.39205763241726527,39.459999,0.00028066862749437566,0.008612340740046612
330,0.016744368346213866,7164.86,0.09314671167413677,24737.2,21.93,2663.5,0.38526206770067645,40.037498,0.0002803738713136889,0.008676309895704767
