,bit_close,nas_close,eth_close,dow_close,ada_close,amd_close,snp_close,nvda_close,bit_close**2,eth_close**2,ada_close**2
796,0.007380229243253283,12405.81,0.042092901274535716,29999.26,2.6537805285494476,91.660004,3572.7,129.722504,5.446778368297093e-05,0.0017718123377078105,7.042551093708186
797,0.00742529050923319,12377.87,0.042625395597326934,30046.37,2.677887314039543,91.650002,3567.5,130.132507,5.513493914650848e-05,0.0018169243498286185,7.171080466693918
798,0.007207270569281596,12440.04,0.0412637497856551,29861.55,2.5158367200082483,94.779999,3554.3,133.087494,5.194474905883266e-05,0.0017026970463731512,6.329434401741861
799,0.00717155018525285,12595.06,0.04122886245570307,30199.31,2.5457162837906324,97.120003,3598.6,133.604996,5.143113205960019e-05,0.0016998190993912823,6.480671397556788
800,0.0068501737621204616,12658.19,0.03976870066086587,30154.54,2.4427400065612286,96.849998,3605.1,132.425003,4.69248805712436e-05,0.0015815495522535537,5.966978739654751
801,0.006608766643749362,12764.75,0.03937266321247723,30303.37,2.4732254149579473,96.839996,3712.8,133.412506,4.367579655153421e-05,0.001550206608443158,6.116843953193911
802,0.006592547073795379,12755.64,0.03915713668144544,30179.05,2.4619193455542674,95.919998,3706.2,132.720001,4.346167692020802e-05,0.0015332813530893998,6.061046864014353
803,0.006568540025393047,12742.52,0.04025018692995942,30216.45,2.559428848350013,93.230003,3685.8,133.322495,4.314571806519049e-05,0.0016200775478966763,6.550676029766273
804,0.006532463104609216,12807.92,0.04004991077435341,30015.51,2.5303970996799396,93.160004,3795.6,132.782501,4.267307421308068e-05,0.0016039953530336693,6.40290948206865
805,0.00656186426215117,12771.11,0.04136197530704193,30129.83,2.7077113597932536,91.550003,3681.5,130.092499,4.305806259489672e-05,0.0017108130013003462,7.331700807953431
806,0.006506153946172997,12804.73,0.04040365465873114,30199.87,2.557528028207143,91.809998,3681.5,129.9375,4.233003917130247e-05,0.0016324553097820068,6.5409496150651165
807,0.006117835394985912,12899.42,0.03711080798734753,30403.97,2.37869477103741,91.599998,3681.5,129.0,3.7427909920142434e-05,0.0013772120694737775,5.658188813760716
808,0.0060885433208152226,12850.22,0.0371499333470197,30335.67,2.2812032670000413,90.620003,3681.5,129.432495,3.7070359769443656e-05,0.0013801175476880064,5.203888345371662
809,0.0058957471969109925,12870.0,0.03661106726476304,30409.56,2.3310086638624825,92.290001,3681.5,131.457504,3.4759835009883825e-05,0.001340370246265004,5.433601391001956
810,0.005860943670299467,12888.28,0.03673298325666264,30606.48,2.347928945363377,91.709999,3681.5,130.550003,3.435066070642339e-05,0.0013493120589342577,5.51277033247518
811,0.005640487883894784,12698.45,0.03134407547114551,30223.89,2.1093009878013027,92.300003,3681.5,131.134995,3.181510356836386e-05,0.0009824510671408656,4.449150657139551
812,0.005389006951941871,12818.96,0.029838613332510627,30391.6,1.9675511332234183,92.769997,3681.5,134.047501,2.9041395928077814e-05,0.0008903428456070809,3.871257461848758
813,0.005250392391364043,12740.79,0.02894514811375285,30829.4,1.7357919994817037,90.330002,3681.5,126.144997,2.7566620263293435e-05,0.0008378215993270902,3.0129738654646907
814,0.005018002521525117,13067.48,0.028272408257568535,31041.13,1.8258027194555708,95.160004,3681.5,133.440002,2.5180349306032432e-05,0.0007993290686826295,3.3335555703713577
815,0.004967847282518734,13201.98,0.028764862494262,31097.97,1.8089453922387362,94.580002,3792.0,132.767502,2.467950662242877e-05,0.0008274173143138008,3.272283432101755
816,0.005406226056033814,13072.43,0.030654067595400705,31068.69,1.8666237265187526,95.360001,3794.5,134.847504,2.9227280168938928e-05,0.0009396718601433955,3.484284136402755
817,0.005197558025719749,13128.95,0.02992839699569773,31060.47,1.7856886621768902,91.779999,3790.6,135.317505,2.7014609430723774e-05,0.0008957089467320888,3.188683998227092
818,0.005100722287870471,13112.64,0.029143940219362445,30991.52,1.7949069617037803,90.790001,3811.8,132.002502,2.601736785797857e-05,0.0008493692515097719,3.2216910011726956
819,0.005216292825249993,12998.5,0.029217843149670016,30814.26,1.818091667111106,88.209999,3811.8,128.595001,2.7209710838754558e-05,0.0008536823583187191,3.305457310018841
820,0.005228689757426244,13197.18,0.026613879800646976,30930.52,1.645910481123035,89.449997,3811.8,130.252502,2.7339196579414114e-05,0.0007082985980432851,2.7090213118706603
821,0.005344878758864911,13457.25,0.027393225221803905,31188.38,1.6321359715212975,88.75,3845.0,133.657501,2.8567728946965312e-05,0.0007503887880524736,2.66386782953377
822,0.005716042075841179,13530.91,0.029914338635880448,31176.01,1.7954478825561067,91.529999,3846.0,138.675003,3.267313701278673e-05,0.0008948676560221297,3.223633098975207
823,0.005474349620105144,13543.06,0.02827618353301729,30996.98,1.6913308655281742,92.790001,3834.2,137.125,2.9968503763145336e-05,0.0007995425551928782,2.860600096688283
824,0.00554698011891149,13635.99,0.027473579947837425,30960.0,1.7052684311030424,94.129997,3848.4,136.532501,3.076898843959933e-05,0.0007547975951502147,2.9079404221166314
825,0.005562035010393971,13626.06,0.02720912707477582,30937.04,1.7044062509126614,94.709999,3842.6,134.352493,3.0936233456848264e-05,0.0007403365961712986,2.905000668150154
826,0.005722700826509729,13270.6,0.028310821630797317,30303.17,1.7871966323642525,88.839996,3744.2,129.177505,3.274930474973514e-05,0.0008015026214108213,3.194071802734125
827,0.0054710834910997545,13337.16,0.027166688285346643,30603.36,1.7321296212596968,87.519997,3779.3,130.509995,2.9932754566584275e-05,0.0007380289523931905,3.000273024845261
828,0.0053572879249476,13070.69,0.026653101531511975,29982.62,1.6948397890494453,85.639999,3818.3,129.897507,2.8700533910789362e-05,0.000710387821249086,2.872481910545168
829,0.005297541939157753,13612.78,0.02547697285655851,30687.48,1.5316845522367173,88.860001,3765.0,135.567505,2.806395059713528e-05,0.000649076145933819,2.3460575675605932
830,0.0051710548229630116,13610.54,0.02465803737425418,30723.6,1.505164045480117,87.889999,3823.6,135.304993,2.6739807982089024e-05,0.000608018807150116,2.2655188038060716
831,0.0051808428384909015,13777.74,0.02478051822797888,31055.86,1.505759439636504,87.839996,3864.6,136.642502,2.684113251714246e-05,0.0006140740836471935,2.267311490054438
832,0.005139938215046713,13856.3,0.024219165084822882,31148.24,1.3635143852641152,87.900002,3931.1,135.910004,2.641896485449759e-05,0.0005865679574059038,1.8591714788221778
