,nas_close,eth_close,dow_close,ada_close,amd_close,snp_close,bnb_close,nvda_close,eth_close**2,ada_close**2
87,7115.88,0.036543474108928414,24912.77,1.64453888510618,11.65,2694.3,0.34733844828856253,56.395,0.0013354254999499214,2.7045081446262773
88,7051.98,0.03492686071104178,24893.35,1.713859610816357,11.6,2668.2,0.3514724633390469,57.200001,0.0012198855991285137,2.937314765587595
89,6777.16,0.03521179149057878,23860.46,1.6746307971676968,11.22,2593.4,0.3410864191377688,54.380001,0.0012398702599759961,2.8043883068225157
90,6874.49,0.033336907982340395,24190.9,1.59800284955483,11.31,2619.1,0.32057770401808394,58.02,0.0011113494338230309,2.5536131071853565
91,6981.96,0.03424033134019459,24601.27,1.6130815810547694,11.68,2655.2,0.32751749433314803,57.0075,0.0011724002902863116,2.6020321871381547
92,7013.51,0.03425843027049432,24640.45,1.6366765555508458,11.78,2661.7,0.3335784181830321,58.157501,0.0011736400445983217,2.678710147489781
93,7143.62,0.032651366280438555,24893.49,1.587285590550847,12.2,2696.9,0.3100778920474471,60.355,0.00106611171997936,2.519475545970351
94,7256.43,0.03276871381950831,25200.37,1.5629426929497316,12.19,2733.9,0.3024600825345987,61.625,0.0010737886053848351,2.4427898614449592
95,7239.47,0.032172474376110274,25219.38,1.5736620266252368,11.82,2735.0,0.2987858112520918,60.959999,0.0010350681074814722,2.4764121740422476
96,7234.31,0.033625652653981784,24964.75,1.6248267240079906,12.02,2714.1,0.3177484952766682,62.27,0.0011306845164062323,2.6400618830505387
97,7218.23,0.034094563533627054,24797.78,1.6564807190226405,11.72,2698.7,0.3264978254047986,60.377499,0.0011624392625485317,2.743928372493764
98,7210.09,0.034363551025697305,24962.48,1.7203806191996998,11.84,2711.5,0.335124896381414,60.537498,0.0011808536390957023,2.9597094749179425
99,7337.39,0.03379626450727944,25309.99,1.7018768264997317,12.07,2748.8,0.3212113130820491,61.482498,0.001142187494645996,2.8963847325767977
100,7421.46,0.03378613612359889,25709.27,1.7192005307049074,12.42,2784.4,0.3177836300094506,61.645,0.0011415029941623538,2.9556504647760353
101,7330.35,0.03355020948472313,25410.03,1.7263563181007557,12.53,2747.5,0.3062833825204449,61.514999,0.0011256165564688058,2.980306137046398
102,7273.01,0.0340827392790867,25029.2,1.7886225915310185,12.11,2714.4,0.30951891411030996,60.5,0.0011616331167661994,3.199170774935137
103,7180.56,0.03383133072301854,24608.98,1.8125075155496744,11.9,2678.2,0.30846425170860226,58.052502,0.0011445589384902581,3.285183493924053
104,7257.87,0.03400733066213954,24538.06,1.8458354724527926,11.81,2690.2,0.31273219212088366,59.134998,0.0011564985387640962,3.407108591365024
105,7330.7,0.03434084967947239,24874.76,1.8330211862197998,11.91,2718.4,0.314494955128608,58.912498,0.0011792939567081189,3.359966669130642
